name,slug,state,exited,types,founded,invested,partner,founders,website,excerpt
EquiLibre,equilibre,Active,False,AI|Fintech,2022-01-01,2026-07-01,Staffan Helgesson,"Martin Schmid, Matej Moravcik, Rudolf Kadlec",https://equilibre.ai/,AI trading using reinforcement learning
Causa Prima,causa-prima,Active,False,AI|Fintech,2026-01-01,2026-06-16,Simon Schmincke,"Maex Ament, Henrik Gebbing, Philip Stanislaus ",https://causaprima.ai/,The agent-to-agent network for B2B finance
PAVE Space,pave-space,Active,False,Other,2024-11-01,2026-03-25,Peter Specht,"Julie Böhning, Jérémy Marciacq",https://pave.space/,The logistics backbone of the space economy
Hosted·ai,hosted-ai,Active,False,AI,2024-08-01,2026-03-19,Carl Fritjofsson,"Ditlev Bredahl, Julian Chesterfield, Naren Shankar, James Withall",https://hosted.ai/,GPU virtualisation for neocloud service providers
Olix,olix,Active,False,AI,2024-03-01,2026-02-11,Peter Specht,James Dacombe,https://olix.com/,Building the infrastructure for Frontier AI
Black Forest Labs,black-forest-labs,Active,False,AI,2024-03-01,2025-12-01,Peter Specht,"Robin Rombach, Patrick Esser, Sumith Kulal, and Andreas Blattmann",https://bfl.ai/,World-leading AI text-to-image generation
Cerrion,cerrion,Active,False,AI,2022-01-01,2025-11-25,Hanel Baveja,Karim Saleh; Nikolay Kobyshev,https://www.cerrion.com/,AI video agents built for manufacturing 
GetVocal,getvocal,Active,False,AI,2023-12-01,2025-11-18,Hanel Baveja,"Roy Moussa, Antonin Bertin",https://www.getvocal.ai/,The AI platform for human-AI workforces
Midas,midas,Active,False,Fintech,2024-07-01,2025-11-01,Simon Schmincke,"Dennis Dinkelmeyer, Fabrice Grinda, Romain Bourgois",https://midas.app/,I nstitutional-grade investment products onchain
Vesence,vesence,Active,False,AI,2025-01-01,2025-10-28,Staffan Helgesson,"Henrik Hansson, Ludvig Swanstrom",https://vesence.com/,Cursor for Lawyers
Jack & Jill,jack-and-jill,Active,False,AI,2025-04-01,2025-10-16,Peter Specht,"Matthew Wilson, Saaras Mehan",https://jackandjill.ai/,The AI super-recruiters
Ares Intelligence,ares,Active,False,AI,2023-06-01,2025-09-24,,"Matt Falconer, Alfie Ranstead",https://aresintelligence.ai/,Create AI agents that perform any task
Conduct,conduct,Active,False,AI,2024-01-01,2025-09-18,Peter Specht,"Jan-Philipp Haas, Philipp Hoefer, Henry Thompson",https://conduct.ai/,AI to modernise legacy ERP at scale
Foresight,foresight,Active,False,Other|AI,2021-01-01,2025-09-12,Hanel Baveja,"Igor Shyfrin, Atif Ansar,",https://www.foresight.works/,Turn construction schedules into strategic decision-making
Maisa,maisa,Active,False,AI,2023-12-01,2025-08-28,Peter Specht,"David Villalon, Manuel Romero",https://maisa.ai/,Reliable AI Agents for Enterprises
Sibill,sibill,Active,False,Fintech,2021-10-01,2025-06-26,Johan Brenner,"Mattia Montepara, Lorenzo Liguori, Dario Prencipe",https://sibill.com/,The all-in-one accounting platform for Italian SMEs
Superscale,superscale,Active,False,AI,2024-12-02,2025-06-18,Fredrik Cassel,"Patrick Häde, Magnus Langanke, Sebastian Hader",https://www.superscale.ai/,The AI CMO
Junction,junction,Active,False,AI|Health,2021-03-01,2025-03-11,Hanel Baveja; Fredrik Cassel,Maitham Dib,https://www.junction.com/,Data-driven infrastructure for patient-centered healthcare
Lovable,lovable,Active,False,AI|Consumer,2024-11-21,2025-02-25,Fredrik Cassel,Anton Osika and Fabian Hedin,https://lovable.dev/,The world's first AI full stack software engineer
Capi Money,capi-money,Active,False,Fintech,2023-06-01,2025-02-18,Simon Schmincke,"Mitch Riley, Scott Liddle, Tom Watson",https://capimoney.com/,Unlocking global trade for emerging markets
Sereact,sereact,Active,False,AI|Other,2021-01-01,2025-01-20,Johan Brenner,"Ralf Gulde, Marc Tuscher",https://sereact.ai/,Embodied AI for robots
nexos.ai,nexos-ai,Active,False,AI|SaaS,2024-01-01,2025-01-17,Carl Fritjofsson,"Tomas Okmanas,  Eimantas Sabaliauskas",https://nexos.ai/,AI orchestration platform  
Boardy,boardy,Active,False,AI|Consumer,2024-03-01,2025-01-14,Simon Schmincke; Hanel Baveja,Andrew D'Souza,https://www.boardy.ai/,The AI Superconnector
Kurrent,kurrent,Active,False,Other|AI,2019-01-01,2024-12-18,Carl Fritjofsson,Kirk Dunn,https://www.kurrent.io/,Transforming data into context-rich insights
Appcharge,appcharge,Active,False,Other,2022-04-04,2024-11-25,Carl Fritjofsson,"Maor Sason, Roei Barassi",https://appcharge.com/,D2C platform for mobile game publishers
terralayr,terralayr,Active,False,Climate,2023-05-01,2024-10-18,Johan Brenner,"Philipp Man, Ludwig Wurlitzer",https://www.trlyr.com/,Energy flexibility services on demand
Rillet,rillet,Active,False,Fintech,2021-01-01,2024-07-29,Peter Specht,"Nicolas Kopp, Stelios Modes",https://rillet.com/,Automation-first accounting software
doinstruct,doinstruct,Active,False,SaaS,2021-01-01,2024-07-16,Simon Schmincke,"Charlotte Rothert, Daniel Marinkovic, Thorsten Gross, Mona Feder",https://www.doinstruct.com/,Leading platform for frontline worker training
Visibly,visibly,Active,False,SaaS,2021-06-01,2024-06-10,Hanel Baveja,Kane St Quintin,https://www.visiblyhq.com/,Better training for those who build our world
plancraft,plancraft,Active,False,SaaS,2020-01-01,2024-06-05,Staffan Helgesson,"Julian Wiedenhaus, Alexander Noll, Richard Keil",https://plancraft.com/,Digitizing the craft industries
H Company,h-company,Active,False,SaaS|AI,2024-05-01,2024-05-21,Carl Fritjofsson,"Charles Kantor, Laurent Sifre",https://www.hcompany.ai/,The next frontier of generative AI
Codesphere,codesphere,Active,False,SaaS|AI,2020-01-01,2024-05-17,Carl Fritjofsson,"Elias Schneider, Jonas Zipprick and Roman Frolov",https://codesphere.com/,Deploy and scale the cloud
Embat,embat,Active,False,Fintech,2022-01-04,2024-02-14,Peter Specht,"Antonio Berga, Carlos Serrano, Tomás Gil",https://www.embat.io/,Treasury management for the mid-market
atla,atla,Past,True,SaaS|AI,2023-01-01,2023-12-07,,"Maurice Berger, Roman Engeler",https://www.atla-ai.com/,Building safe AI systems
Lindus Health,lindus-health,Active,False,Health,2021-03-12,2023-08-19,Fredrik Cassel,"Meri Beckwith, Michael Young, Nik Haldimann",https://www.lindushealth.com/,End-to-end clinical trials for healthtech & biotech pioneers
Unitary AI,unitary-ai,Active,False,SaaS|AI,2019-06-07,2023-07-20,Staffan Helgesson,"Sasha Haco, James Thewlis",https://www.unitary.ai/,AI safety layer for online video content 
Kosmik,kosmik,Active,False,Consumer,2019-10-11,2023-06-01,Hanel Baveja,"Paul Rony, Christophe Van Deputte ",https://www.kosmik.app/,Visual canvas for knowledge management
Prewave,prewave,Active,False,SaaS|AI,2017-01-01,2023-05-24,,"Harald Nitschinger, Lisa Smith",https://www.prewave.com/,AI supply chain risk intelligence
