company,country,city,lane,stage_known,amount,founders,description,website,channel,source
Menza,United Kingdom,London,,YC batch Winter 2026,,,The AI data analyst for consumer brands,https://menza.ai/,YC public dataset,https://www.ycombinator.com/companies/menza
Leeroo,United Kingdom,London,,YC batch Spring 2025,,,Organizational Superintelligence,https://www.leeroo.com/,YC public dataset,https://www.ycombinator.com/companies/leeroo
Piggy Robotics,United Kingdom,London,,YC batch Fall 2025,,,Humanoid robots that do your chores for the price of an iPhone!,https://piggyrobotics.com,YC public dataset,https://www.ycombinator.com/companies/piggy-robotics
Autumn,United Kingdom,London,,YC batch Summer 2025,,,Billing infrastructure for AI,https://useautumn.com,YC public dataset,https://www.ycombinator.com/companies/autumn
Vetnio,Sweden,Stockholm,,YC batch Winter 2025,,,AI Copilot that automates admin work for veterinary professionals,https://vetnio.com/,YC public dataset,https://www.ycombinator.com/companies/vetnio
Hey Telo,Germany,BY,,YC batch Winter 2025,,,Voice AI for Home Services,https://www.heytelo.com,YC public dataset,https://www.ycombinator.com/companies/hey-telo
Alice.tech,Denmark,Copenhagen,,YC batch Winter 2025,,,AI-driven exam prep,https://www.alice.tech/,YC public dataset,https://www.ycombinator.com/companies/alice-tech
Dollyglot,France,Paris,,YC batch Winter 2025,,,Character.AI with real time video avatars,https://www.dollyglot.com/,YC public dataset,https://www.ycombinator.com/companies/dollyglot
awen,France,Paris,,YC batch Winter 2025,,,awen translates intent into exceptional visuals through conversation,https://www.awen.ai/,YC public dataset,https://www.ycombinator.com/companies/awen
superglue,Germany,BY,,YC batch Winter 2025,,,"connect, migrate and implement enterprise systems",https://superglue.ai/,YC public dataset,https://www.ycombinator.com/companies/superglue
Rally,Germany,Berlin,,YC batch Winter 2025,,,Financial OS for Modern Fleets,https://www.getrally.com/,YC public dataset,https://www.ycombinator.com/companies/rally-3
Cardamon,United Kingdom,London,,YC batch Winter 2025,,,AI compliance co-pilot for regulated financial businesses,https://cardamon.ai/,YC public dataset,https://www.ycombinator.com/companies/cardamon
finbar,United Kingdom,London,,YC batch Winter 2025,,,The AI investment analyst,https://finbar.com,YC public dataset,https://www.ycombinator.com/companies/finbar
Macadamia,Belgium,Ghent,,YC batch Winter 2025,,,AI Agents for Complex Engineering Projects,https://macadamialabs.com,YC public dataset,https://www.ycombinator.com/companies/macadamia
Stillwind,Switzerland,Zürich,,YC batch Winter 2025,,,Electrical Engineering Components Compaion,https://stillwind.ai,YC public dataset,https://www.ycombinator.com/companies/stillwind
ReJot,Netherlands,Amsterdam,,YC batch Winter 2025,,,We turn complex API integrations into drop‑in full‑stack libraries ,https://rejot.dev,YC public dataset,https://www.ycombinator.com/companies/rejot
Artificial Societies,United Kingdom,London,,YC batch Winter 2025,,,We build networks of AIs to simulate high-value audiences,https://societies.io,YC public dataset,https://www.ycombinator.com/companies/artificial-societies
Pinch,Spain,VC,,YC batch Winter 2025,,,AI Voice Translation for live conversations or media,https://startpinch.com,YC public dataset,https://www.ycombinator.com/companies/pinch
Spott,Belgium,Leuven,,YC batch Winter 2025,,,AI-native ATS/CRM for recruiting firms,https://spott.io,YC public dataset,https://www.ycombinator.com/companies/spott
Waffle,United Kingdom,London,,YC batch Spring 2025,,,Discover & Build AI Chatbots,https://www.waffle.ai,YC public dataset,https://www.ycombinator.com/companies/waffle
Bluebook,Sweden,Stockholm,,YC batch Winter 2025,,,AI for accounting,https://getbluebook.com,YC public dataset,https://www.ycombinator.com/companies/bluebook
Mercura,Germany,BY,,YC batch Winter 2025,,,AI Quote and Order Automation for Distributors & Manufacturers,https://www.mercura.ai,YC public dataset,https://www.ycombinator.com/companies/mercura
Instinct Space,United Kingdom,London,,YC batch Winter 2025,,,Building lunar landers,https://www.instinct-space.com/,YC public dataset,https://www.ycombinator.com/companies/instinct-space
SAMMY Labs,United Kingdom,London,,YC batch Winter 2025,,,Computational Law,https://www.sammylabs.com,YC public dataset,https://www.ycombinator.com/companies/sammy-labs
Vantel,Sweden,Stockholm,,YC batch Winter 2025,,,AI Platform for Commercial Insurance Brokerages,https://vantel.com/,YC public dataset,https://www.ycombinator.com/companies/vantel
